"Name","2021-01-02","2021-01-03","2021-01-06","2021-01-09","2021-01-12","2021-01-15","2021-01-16","2021-01-18","2021-01-20","2021-01-21","2021-01-22 15:03","2021-01-22 16:26","2021-01-22 20:29","2021-01-22","2021-01-23 00:31","2021-01-23 04:24","2021-01-23 08:23","2021-01-23 12:16","2021-01-23 16:23","2021-01-23 20:25","2021-01-24 00:28","2021-01-24 04:29","2021-01-24 08:24","2021-01-24 12:17","2021-01-24 16:24","2021-01-24 20:25","2021-01-25 00:29","2021-01-25 04:28","2021-01-25 08:25","2021-01-25 12:18","2021-01-25 16:25","2021-01-25 20:27","2021-01-26 00:05","2021-01-26 04:05","2021-01-26 08:01","2021-01-26 12:01","2021-01-26 16:05","2021-01-26 20:02"
"210","13630","13630","13630","13590","13580","12170","12120","12030","12090","12090","12060","12060","12060","12090","12060","12060","12060","12060","12060","12060","12060","12060","12060","12060","12050","12050","12050","12050","12050","12050","12050","12050","12050","12050","12050","12050","12050","12050"
"gt-1030","25380","25380","25230","25100","25320","24390","24990","24990","25970","26100","26020","26020","26020","26020","26020","26020","26690","26690","26690","26690","26690","26690","27190","27190","27190","27190","27190","27190","27190","27190","26890","26890","26890","26890","26890","26890","26890","26890"
"gt-710","12020","12020","11490","11610","11930","12000","11840","12000","11900","12307","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","12000","11990","11990","11990","11990"
"gt-730","18990","20080","19640","19400","19850","19780","19780","20080","19880","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","20080","19180","19180","19180","19180","19180","19180","19180","19180"
"gtx-1050","54990","54990","51480","41815","54990","54990","54730","54990","54780","54990",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gtx-1050-ti","49199","49199","55190","56990","58990","51275","58990","61631","58558","58558","58558","54610","54610","58558","56020","52790","52790","52790","56020","56020","56020","56020","72530","72530","59499","59499","59499","59499","59499","69500","72530","72530","76090","76090","74210","74210","74210","74210"
"gtx-1060","179924","179924","90330","179924","179924","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701","174701"
"gtx-1070","179990","179990","179990","179990","179990","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gtx-1650","52990","59900","59900","57900","57900","66990","67380","71600","70270","73170","63995","63995","63995","63995","63995","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","73170","81990"
"gtx-1650-super","65900","65900","65900","65900","65900","134946","133789","133789","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900","109900"
"gtx-1660","89990","89990","89990","76900","76900","","139900","124990","119900","85366","123900","123900","123900","123900","123900","123900","123900","123900","123900","123900","123900","123900","123900","123900","104200","104200","104200","104200","104200","123900","123900","123900","123900","123900","123900","123900","123900","123900"
"gtx-1660-super","91900","91900","91900","110900","110900","99140","149990","134990","139990","132990","144900","144900","144900","144900","144900","99810","99810","99810","99810","99810","99810","99810","144335","144335","144335","144335","144335","144335","144335","144335","144335","144335","144335","144335","144335","144335","144335","147900"
"gtx-1660-ti","112070","112070","128990","118140","118140","119322","118140","118140","102246","102246",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"m4000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"304699","304699","304699","304699","304699","304699","304699","304699","304699","304699","304699"
"p1000","117296","116107","115460","114370","117900","115912","115912","121000","121000","122961","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000","121000"
"p2000","173580","173580","170980","170880","170150","170580","168010","170150","168450","173300","173160","173160","173160","173170","173160","173160","173160","173040","173030","173030","173030","173030","173030","172911","172900","172900","172900","172900","172900","172780","171050","171050","171050","171050","171050","170931","170920","170920"
"p2200","168420","168376","165890","165771","164440","168530","164440","165740","164080","168410","168270","168270","168270","168280","168270","168270","168270","168151","168140","168140","168140","168140","168140","168020","168010","168010","168010","168010","168010","167890","166210","166210","166210","166210","166210","166091","166080","166080"
"p4000","303070","303070","298520","298409","298409","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900","274900"
"p620","70450","70450","70450","69880","72320","64654","64642","64699","64699","71730","64699","64699","64699","64699","64699","72416","72416","72416","72390","72390","72390","72390","72416","72415","72416","72416","72415","72415","72415","72416","71690","71690","71690","71690","71690","71679","71690","71690"
"r7-240","26420","26420","25780","25780","26160","27840","27420","27840","27560","27840","27830","27830","27830","27830","27830","27830","27840","27840","27840","27840","27840","27840","28110","28110","28110","28110","28110","28110","28110","28110","27830","27830","27830","27830","27830","27830","27830","27830"
"rtx-2060","135900","135900","135900","135900","135900","","",,"","112436","114080","114080","114080","114080","114080","245990","245990","245990","245990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990","239990"
"rtx-2060-super",,,,,,,,,,,,,,,,"194390","194390","194390","194390","194390","","","","","","","",,,,,,,,,,,
"rtx-2070-super",,,,,,,"",,,"189930",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rtx-2080-super","242820","242820","242820","242820","242820",,"",,"356390","309451",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rtx-2080-ti","499990","499990","499990","499990","499990","399990","399990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990","499990"
"rtx-3060-ti","256990","256990","256990","239990","269990","299990","355990","","359990","","374990","374990","374990","374990","","319990","339900","339900","339900","339900","339900","339900","339900","339900","358990","358990","355990","355990","355990","355990","349990","349990","349990","349990","349990","349990","349990","385990"
"rtx-3070","293990","293990","257590","278240","299000","304990","309990","344990","329900","339900","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","339990","334990","339900","339900","339900"
"rtx-3080","447990","447990","470056","409990","489990","","529990","529990","","559990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990","539990"
"rtx-3090","641390","641390","641390","649786","735330","735330","643306","771990","769990","769990","769990","769990","769990","769990","769990","769990","769990","769990","769990","717260","717260","717260","717260","717260","717260","717260","717260","717260","717260","755790","755790","755790","755790","755790","755790","755790","755790","755790"
"rtx-4000","339049","336027","339049","336027","336027","336027","337000","338000","345280","354211","354070","354070","354070","354080","354070","354070","354070","353950","353940","353940","353940","353940","353940","353819","353800","353800","353800","353800","353800","353680","350140","350140","350140","350140","350140","350020","350010","350010"
"rtx-5000","786520","786520","774720","774720","786520","786520","774720","786520","778650","786520","786520","786520","786520","786520","786536","786536","786536","786536","786536","786536","786536","786536","974496","976594","976594","976594","976594","976594","976594","977380","967610","924256","924256","924256","904290","904290","904290","904290"
"rtx-6000","1800749","1800749","1779913","1733180","1778398","1772368","1746990","1772024","1754300","2490720","2045634","2045634","2045634","2048175","2045634","2045634","2535180","2535180","2535180","2535180","2535180","2535180","2535180","2535180","2535180","2535180","2535180","2045634","2535180","2535180","2509830","2509830","2509830","2509830","2048569","2509830","2509830","2509830"
"rtx-8000",,,,"2064090",,,"2078080","","2080020",,,,,,,,,,,,,,,,,,,,,,,,,,"2052270","2052270","2052270","2052270"
"rx-550","26190","27150","22290","28470","28900","29630","29620","29520","27189","26895","28090","28090","28090","28090","28090","29150","29150","29150","29150","29150","29150","29150","29990","29990","29990","29990","29990","29990","29990","29990","29990","29990","29990","29990","29990","29990","29990","30349"
"rx-5500-xt","76590","76590","76590","76590","76590","","109440","85500","105875","118900","94300","74460","94300","94300","94300","74460","105550","105550","105550","105550","105550","105550","107911","107911","107911","107911","107911","118990","118990","118990","74460","74460","110750","110750","109490","109490","109490","109490"
"rx-5600","157350","157350","157790","191880","177000","177000",,"227660","","207506",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rx-5600-xt","131690","131690","131690","131690","131690","","172500",,,,"146500","146500","146500","146500","146500",,,,,,,,,,,,,,,,,,,,,,,
"rx-570","65400","65400","64880","63900","63900","","126760","126760","125490",,"99900","99900","99900","99900","99900","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","128990","108517","128990","128990","128990"
"rx-5700","145900","145900","145900","145900","145900","",,,,,"245450","245450","245450","245450","245450",,,,,,,,,,,,,,,,,,,,,,,
"rx-5700-xt","199900","199900","199000","162900","266680",,,"327699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rx-580","77990","77990","81990","110840","110990","","128790","153471","120520","","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","159995","161750","161750","101620","102010"
"rx-6800","416090","416090","415460","389900","389900","435900","389900","389900","392580","409990","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","389900","409990","402990","402990","402990","402990","402990","402990","402990","402990"
"rx-6900-xt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"569990","569990","569990","569990"
"rx-vega-56","161710","161710","161710","161710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wx-2100","55190","55190","54990","52490","52780","52790","52790","52790","52890","52590","52490","52490","52490","52490","52590","52590","52590","52590","52590","52590","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490","52490"
"wx-3100","68090","68090","67790","67190","67490","67490","67490","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190","79190"
"wx-3200","71250","71250","71250","67090","67390","69780","71610","72100","72280","67190","67090","67090","67090","67090","67190","67190","67190","67190","67190","67190","67090","67090","67090","67090","67090","67090","67090","67090","67090","67090","70090","70090","70090","70090","70090","70090","70090","70090"
"wx-4100","106990","106990","106990","102990","103990","103990","103990","103990","104990","104990","106990","106990","106990","106990","107190","107190","107190","107190","107190","107190","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990","106990"
"wx-5100","152280","152280","152280","152280","152230","153630","146490","146790","146990","146090","145890","145890","145890","145890","146090","146090","146090","146090","146090","146090","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890","145890"
"wx-7100",,,,,"285013","427566","283986","284239","283962","283962","282365","282365","282365","284239","282365","282365","282365","282365","282365","282365","282365","282365","282365","282365","282365","282017","282017","282017","282017","","","","","",,,,
"wx-8200","401890","401890","401890","399720","394310","401900","403680","403680","407340","403680","403680","403680","403680","403680","403680","403680","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500","402500"
